Fecha Vto.;Detalle;ID_BIEN;Cuota;Añ;Importe;Int/Dto;Total
14/5/2026;RDIG. COMERCIO E INDUSTRIA;0;0;2026;$ 46.000,00;$ 2.570,96;$ 48.570,96
15/1/2026;Comercio e Industria;184;12;2025;$ 14.500,00;$ 2.701,37;$ 17.201,37
31/12/2025;Comercio e Industria;184;6;2025;$ 14.500,00;$ 3.233,70;$ 19.183,70
15/12/2025;Comercio e Industria;184;11;2025;$ 14.500,00;$ 3.513,37;$ 19.463,37
15/11/2025;Comercio e Industria;184;10;2025;$ 14.500,00;$ 4.037,75;$ 19.987,75
31/10/2025;Comercio e Industria;184;5;2025;$ 14.500,00;$ 4.299,95;$ 20.249,95
15/10/2025;Comercio e Industria;184;9;2025;$ 14.500,00;$ 4.579,62;$ 20.529,62
15/9/2025;Comercio e Industria;184;8;2025;$ 14.500,00;$ 5.104,00;$ 21.054,00
31/8/2025;Comercio e Industria;184;4;2025;$ 14.500,00;$ 5.366,19;$ 21.316,19
15/8/2025;Comercio e Industria;184;7;2025;$ 14.500,00;$ 5.645,86;$ 21.595,86
30/6/2025;Comercio e Industria;184;3;2025;$ 14.500,00;$ 6.449,92;$ 22.399,92
30/4/2025;Comercio e Industria;184;2;2025;$ 14.500,00;$ 7.516,16;$ 23.466,16
28/2/2025;Comercio e Industria;184;1;2025;$ 14.500,00;$ 8.582,41;$ 24.532,41
15/1/2021;Comercio e Industria;1801;4;2020;$ 2.031,00;$ 4.442,60;$ 6.473,60
31/10/2020;Comercio e Industria;1801;5;2020;$ 2.031,00;$ 4.611,76;$ 6.642,76
15/10/2020;Comercio e Industria;1801;3;2020;$ 2.031,00;$ 4.647,37;$ 6.678,37
15/7/2020;Comercio e Industria;1801;2;2020;$ 2.031,00;$ 4.852,14;$ 6.883,14
15/4/2020;Comercio e Industria;1801;1;2020;$ 2.031,00;$ 5.054,69;$ 7.085,69
15/1/2020;Comercio e Industria;1801;4;2019;$ 1.886,40;$ 4.882,93;$ 6.769,33
31/10/2019;Comercio e Industria;1801;5;2019;$ 1.886,40;$ 5.040,05;$ 6.926,45
15/10/2019;Comercio e Industria;1801;3;2019;$ 1.886,40;$ 5.073,12;$ 6.959,52
15/7/2019;Comercio e Industria;1801;2;2019;$ 1.886,40;$ 5.263,31;$ 7.149,71
15/4/2019;Comercio e Industria;1801;1;2019;$ 1.886,40;$ 5.451,44;$ 7.337,84
31/10/2022;Tasa Serv. a la Prop.;2398;5;2022;$ 4.320,80;$ 6.354,54;$ 10.675,34
31/8/2022;Tasa Serv. a la Prop.;2398;4;2022;$ 4.320,80;$ 6.643,38;$ 10.964,18
30/6/2022;Tasa Serv. a la Prop.;2398;3;2022;$ 4.320,80;$ 6.936,96;$ 11.257,76
30/4/2022;Tasa Serv. a la Prop.;2398;2;2022;$ 4.320,80;$ 7.225,80;$ 11.546,60
28/2/2022;Tasa Serv. a la Prop.;2398;1;2022;$ 4.320,80;$ 7.514,64;$ 11.835,44
31/10/2021;Tasa Serv. a la Prop.;2398;5;2021;$ 2.978,80;$ 5.572,40;$ 8.551,20
31/8/2021;Tasa Serv. a la Prop.;2398;4;2021;$ 2.978,80;$ 5.771,53;$ 8.750,33
30/6/2021;Tasa Serv. a la Prop.;2398;3;2021;$ 2.978,80;$ 5.973,92;$ 8.952,72
30/4/2021;Tasa Serv. a la Prop.;2398;2;2021;$ 2.978,80;$ 6.173,05;$ 9.151,85
28/2/2021;Tasa Serv. a la Prop.;2398;1;2021;$ 2.978,80;$ 6.372,18;$ 9.350,98
15/1/2021;Tasa Serv. a la Prop.;2398;4;2020;$ 2.291,19;$ 5.011,74;$ 7.302,93
31/10/2020;Tasa Serv. a la Prop.;2398;5;2020;$ 2.291,19;$ 5.202,57;$ 7.493,76
15/10/2020;Tasa Serv. a la Prop.;2398;3;2020;$ 2.291,19;$ 5.242,74;$ 7.533,93
15/7/2020;Tasa Serv. a la Prop.;2398;2;2020;$ 2.291,19;$ 5.473,75;$ 7.764,94
15/4/2020;Tasa Serv. a la Prop.;2398;1;2020;$ 2.291,19;$ 5.702,24;$ 7.993,43
15/1/2020;Tasa Serv. a la Prop.;2398;4;2019;$ 1.580,15;$ 4.090,21;$ 5.670,36
31/10/2019;Tasa Serv. a la Prop.;2398;5;2019;$ 1.580,15;$ 4.221,81;$ 5.801,96
15/10/2019;Tasa Serv. a la Prop.;2398;3;2019;$ 1.580,15;$ 4.249,52;$ 5.829,67
15/7/2019;Tasa Serv. a la Prop.;2398;2;2019;$ 1.580,15;$ 4.408,83;$ 5.988,98
15/4/2019;Tasa Serv. a la Prop.;2398;1;2019;$ 1.580,15;$ 4.566,42;$ 6.146,57
;;;;;;;
TOTAL A PAGAR: $ 537.020,60;;;;;;;
