Fecha Vto.;Detalle;ID_BIEN;Cuota;Añ;Importe;Int/Dto;Total
31/10/2025;Tasa Serv. a la Prop.;3;5;2025;$ 13.200,00;$ 3.914,43;$ 18.434,43
31/8/2025;Tasa Serv. a la Prop.;3;4;2025;$ 13.200,00;$ 4.885,08;$ 19.405,08
30/6/2025;Tasa Serv. a la Prop.;3;3;2025;$ 13.200,00;$ 5.871,65;$ 20.391,65
30/4/2025;Tasa Serv. a la Prop.;3;2;2025;$ 13.200,00;$ 6.842,30;$ 21.362,30
31/3/2025;Tasa Serv. a la Prop.;3;1;2025;$ 13.200,00;$ 7.319,67;$ 21.839,67
31/10/2024;Tasa Serv. a la Prop.;3;5;2024;$ 3.141,60;$ 2.103,58;$ 5.245,18
31/8/2024;Tasa Serv. a la Prop.;3;4;2024;$ 3.141,60;$ 2.313,59;$ 5.455,19
30/6/2024;Tasa Serv. a la Prop.;3;3;2024;$ 3.141,60;$ 2.527,05;$ 5.668,65
30/4/2024;Tasa Serv. a la Prop.;3;2;2024;$ 3.141,60;$ 2.737,07;$ 5.878,67
28/2/2024;Tasa Serv. a la Prop.;3;1;2024;$ 3.141,60;$ 2.950,52;$ 6.092,12
31/10/2023;Tasa Serv. a la Prop.;3;5;2023;$ 1.309,00;$ 1.401,53;$ 2.710,53
31/8/2023;Tasa Serv. a la Prop.;3;4;2023;$ 1.309,00;$ 1.489,03;$ 2.798,03
30/6/2023;Tasa Serv. a la Prop.;3;3;2023;$ 1.309,00;$ 1.577,97;$ 2.886,97
30/4/2023;Tasa Serv. a la Prop.;3;2;2023;$ 1.309,00;$ 1.665,48;$ 2.974,48
28/2/2023;Tasa Serv. a la Prop.;3;1;2023;$ 1.309,00;$ 1.752,98;$ 3.061,98
31/10/2022;Tasa Serv. a la Prop.;3;5;2022;$ 792,00;$ 1.164,78;$ 1.956,78
31/8/2022;Tasa Serv. a la Prop.;3;4;2022;$ 792,00;$ 1.217,73;$ 2.009,73
30/6/2022;Tasa Serv. a la Prop.;3;3;2022;$ 792,00;$ 1.271,54;$ 2.063,54
30/4/2022;Tasa Serv. a la Prop.;3;2;2022;$ 792,00;$ 1.324,48;$ 2.116,48
28/2/2022;Tasa Serv. a la Prop.;3;1;2022;$ 792,00;$ 1.377,43;$ 2.169,43
31/10/2021;Tasa Serv. a la Prop.;3;5;2021;$ 545,60;$ 1.020,65;$ 1.566,25
31/8/2021;Tasa Serv. a la Prop.;3;4;2021;$ 545,60;$ 1.057,12;$ 1.602,72
30/6/2021;Tasa Serv. a la Prop.;3;3;2021;$ 545,60;$ 1.094,19;$ 1.639,79
30/4/2021;Tasa Serv. a la Prop.;3;2;2021;$ 545,60;$ 1.130,66;$ 1.676,26
28/2/2021;Tasa Serv. a la Prop.;3;1;2021;$ 545,60;$ 1.167,14;$ 1.712,74
15/1/2021;Tasa Serv. a la Prop.;3;4;2020;$ 419,76;$ 918,18;$ 1.337,94
31/10/2020;Tasa Serv. a la Prop.;3;5;2020;$ 419,76;$ 953,14;$ 1.372,90
15/10/2020;Tasa Serv. a la Prop.;3;3;2020;$ 419,76;$ 960,50;$ 1.380,26
15/7/2020;Tasa Serv. a la Prop.;3;2;2020;$ 419,76;$ 1.002,82;$ 1.422,58
15/4/2020;Tasa Serv. a la Prop.;3;1;2020;$ 419,76;$ 1.044,68;$ 1.464,44
15/1/2020;Tasa Serv. a la Prop.;3;4;2019;$ 289,52;$ 749,42;$ 1.038,94
31/10/2019;Tasa Serv. a la Prop.;3;5;2019;$ 289,52;$ 773,53;$ 1.063,05
15/10/2019;Tasa Serv. a la Prop.;3;3;2019;$ 289,52;$ 778,61;$ 1.068,13
15/7/2019;Tasa Serv. a la Prop.;3;2;2019;$ 289,52;$ 807,80;$ 1.097,32
15/4/2019;Tasa Serv. a la Prop.;3;1;2019;$ 289,52;$ 836,67;$ 1.126,19
;;;;;;;
TOTAL A PAGAR: $ 175.090,40;;;;;;;
