Codigo;Fecha;CodMovim;Detalle;Letra;Id;Importe;Saldo;TipoMovim;TipoFPago;FechaVto;Operacion;CuentaContable;NroRenglonAsiento;EsPago;EsDocumento;Sucursal;DiasPromedio;PromedioReal;IDENTIFICADOR;NRO_INTERNO;ID_BIEN;TIPO_BIEN;TIPO_PLAN;TIPO_CUOTA;ANO_CUOTA;NRO_CUOTA;ESTADO_DEUDA;FECHA_ACTUALIZACION_DEUDA;NRO_OPERACION;Categoria;Nro_Dev;NRO_TALONARIO;FechaPago;NUMERO;NRO_RECIBO;NRO_EXPEDIENTE;CuentaContableAC;CuentaContableV;TablaLiq;NumeroPago;Dominio;ACTUALIZACION_COBRADO;NumeroPagoTmp;Observaciones;Ejercicio;FechaP;RecIntereses;MOF;LOF
0000001;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000001;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0000002;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000002;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0000003;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000003;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0000004;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000004;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0000005;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000005;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0000005;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000006;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0000006;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000007;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0000007;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000008;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0000008;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000009;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0000009;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000010;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
