IdTrans;IDENTIFICADOR;Codigo;ID_AUTOMOTOR;TIPO_CATEGORIA_AUTOMOTOR;CIP;ANO_VALUACION;MODELO_AUTOMOTOR;NRO_MOTOR;NRO_CHASIS;CERTIFICADO_FABRICACION;NRO_ADUANA;MARCA_VEHICULO;DESCRIPCION_INDIVIDUAL;PESO_CILINDRADA;IMPORTADO;DOMINIO;VIM;TIPO_ALTA;VALOR_FACTURA;CARGA;SUBESCALA;Fecha;BASE_IMP_CALC;BASE_IMP_CALC2;BASE_IMPCALC2;BASE__IMPCALC2;LIQUIDA;ID_AUTOMOTORPGM;FechaAlta;EXENCION;Valuacion2023;Valuacion2024;FechaBaja
24324; ;0000078;000001; ;13602496;2013; ;CFZ973391; ; ; ;VOLKSWAGEN VOYAGE 1.6 GP; ;NULL; ;MEK516; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;2014-01-03 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24325; ;0000079;000002; ;0445402;2007; ;1P52FMH07100627; ; ; ;BRAVA NEVADA 110; ;NULL; ;846GNQ; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;2012-07-01 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24326; ;0000010;000003; ;0041761;1992; ;146 B1 0003559738; ; ; ; ; ;NULL; ;TJA385; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;2013-01-16 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24327; ;0000081;000005; ;04782180;1997; ;4B8985B015341B; ; ; ;FORD F-100 DIESEL; ;NULL; ;BDR578; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;1997-04-11 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24328; ;0000080;000004; ;A1819027;2011; ;157FMI0A106959; ; ; ;GUERRERO GC125 QUEEN; ;NULL; ;237HJV; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;2012-08-29 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24329; ;0000082;000006; ;0060859;1999; ;607010851; ; ; ; ; ;NULL; ;CWU035; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;1999-09-15 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24330; ;0000044;000007; ;04119TU;2010; ;D56304314; ; ; ;FORD RANGER DC 4X2 XL PLUS 3.0L D; ;NULL; ;JDR870; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;2010-08-26 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24331; ;0000083;000008; ;04119WH;2014; ;QW2P EJ241139; ; ; ;FORD RANGER2 DC 4X2 XL SAFETY 2.2L D; ;NULL; ;OAL823; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;N; ;2014-06-26 00:00:00.000; ;0,00;0,00;2021-04-16 00:00:00.000
24332; ;0000084;000009; ;00737019;1989; ;2818544; ; ; ; ; ;NULL; ;TMO041; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;1989-05-16 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24333; ;0000032;000010; ;04711266;1998; ;4-028793; ; ; ; ; ;NULL; ;BVU914; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;1998-02-02 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24334; ;0000085;000011; ;05534521;1993; ;D15832110152; ; ; ; ; ;NULL; ;SRA603; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;1993-04-01 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
