Codigo;Fecha;CodMovim;Detalle;Letra;Id;Importe;Saldo;TipoMovim;TipoFPago;FechaVto;Operacion;CuentaContable;NroRenglonAsiento;EsPago;EsDocumento;Sucursal;DiasPromedio;PromedioReal;IDENTIFICADOR;NRO_INTERNO;ID_BIEN;TIPO_BIEN;TIPO_PLAN;TIPO_CUOTA;ANO_CUOTA;NRO_CUOTA;ESTADO_DEUDA;FECHA_ACTUALIZACION_DEUDA;NRO_OPERACION;Categoria;Nro_Dev;NRO_TALONARIO;FechaPago;NUMERO;NRO_RECIBO;NRO_EXPEDIENTE;CuentaContableAC;CuentaContableV;TablaLiq;NumeroPago;Dominio;ACTUALIZACION_COBRADO;NumeroPagoTmp;Observaciones;Ejercicio;FechaP;RecIntereses;MOF;LOF
0000001;2025-02-06 00:00:00;H;CATASTRO 25;NULL;NULL;6500,00;6500,00;FA;NULL;2025-03-17 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000001;ININ;NULL;NULL;2025;001;NULL;2025-02-06 00:00:00.000;NULL;NULL;38;NULL;NULL;NULL;NULL;NULL;;4001;CATASTRO25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;003
0000002;2025-02-06 00:00:00;H;CATASTRO 25;NULL;NULL;6500,00;6500,00;FA;NULL;2025-03-17 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000002;ININ;NULL;NULL;2025;001;NULL;2025-02-06 00:00:00.000;NULL;NULL;38;NULL;NULL;NULL;NULL;NULL;;4001;CATASTRO25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;001
0000003;2025-02-06 00:00:00;H;CATASTRO 25;NULL;NULL;6500,00;6500,00;FA;NULL;2025-03-17 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000003;ININ;NULL;NULL;2025;001;NULL;2025-02-06 00:00:00.000;NULL;NULL;38;NULL;NULL;NULL;NULL;NULL;;4001;CATASTRO25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;007
0000005;2025-02-06 00:00:00;H;CATASTRO 25;NULL;NULL;6500,00;6500,00;FA;NULL;2025-03-17 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000006;ININ;NULL;NULL;2025;001;NULL;2025-02-06 00:00:00.000;NULL;NULL;38;NULL;NULL;NULL;NULL;NULL;;4001;CATASTRO25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;009
0000006;2025-02-06 00:00:00;H;CATASTRO 25;NULL;NULL;6500,00;0,00;FA;NULL;2025-03-17 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000007;ININ;NULL;NULL;2025;001;NULL;2025-02-06 00:00:00.000;NULL;NULL;38;NULL;2025-07-01 00:00:00.000;NULL;NULL;NULL;;4001;CATASTRO25;NULL;NULL;9015,01;NULL;NULL;NULL;NULL;NULL;NULL;004
0000009;2025-02-06 00:00:00;H;CATASTRO 25;NULL;NULL;6500,00;6500,00;FA;NULL;2025-03-17 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000010;ININ;NULL;NULL;2025;001;NULL;2025-02-06 00:00:00.000;NULL;NULL;38;NULL;NULL;NULL;NULL;NULL;;4001;CATASTRO25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;006
0000013;2025-02-06 00:00:00;H;CATASTRO 25;NULL;NULL;6500,00;6500,00;FA;NULL;2025-03-17 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000014;ININ;NULL;NULL;2025;001;NULL;2025-02-06 00:00:00.000;NULL;NULL;38;NULL;NULL;NULL;NULL;NULL;;4001;CATASTRO25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;001
0000017;2025-02-06 00:00:00;H;CATASTRO 25;NULL;NULL;6500,00;6500,00;FA;NULL;2025-03-17 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000018;ININ;NULL;NULL;2025;001;NULL;2025-02-06 00:00:00.000;NULL;NULL;38;NULL;NULL;NULL;NULL;NULL;;4001;CATASTRO25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;002
0000018;2025-02-06 00:00:00;H;CATASTRO 25;NULL;NULL;6500,00;6500,00;FA;NULL;2025-03-17 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000019;ININ;NULL;NULL;2025;001;NULL;2025-02-06 00:00:00.000;NULL;NULL;38;NULL;NULL;NULL;NULL;NULL;;4001;CATASTRO25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;004
0000019;2025-02-06 00:00:00;H;CATASTRO 25;NULL;NULL;6500,00;6500,00;FA;NULL;2025-03-17 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000020;ININ;NULL;NULL;2025;001;NULL;2025-02-06 00:00:00.000;NULL;NULL;38;NULL;NULL;NULL;NULL;NULL;;4001;CATASTRO25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;008
