IdTrans;ID_CATASTRO;IDENTIFICADOR;Codigo;CODIGO_CALLE;CODIGO_POSTAL_AUXILIAR;NRO_RENTA;CALLE_NOCOD;NUMERACION_CALLE;PISO;BARRIO;DEPARTAMENTO;ESQUINA_MEDIAL;SUPERFICIE_TERRENO;COEFICIENTE_FRENTE_FONDO;PORCENTAJE_COPROPIEDAD;DESIGNACION_OFICIAL;FOLIO1;ANO1;FOLIO2;ANO2;CUENTA_LOTEO;NOMBRE_ESTABLECIMIENTO;NRO_MATRICULA_FOLIO_REAL;BALDIO_EDIFICADO;BASE_IMPONIBLE;TASACION_TERRENO;NRO_ESCRITURA;REGISTRO;DATO1;DATO2;DATO3;METROS_FRENTE;FRENTE_CONTRIBUCION;TORRE;COEF_IRREGULARIDAD;VALOR_TERRENO;VALOR_EDIFICADO;EJIDO;FEC_ESCRITURA;CODIGO_POSTAL_AMPLIADO;CONDICION_TERRENO;METROS_FONDO;UNIDADES_LOCATIVAS;CODIGO_POSTAL_SUFIJO;Fecha;LIQUIDA;CLAVE_BIEN;EXENCION;FechaAlta;DEP;PED;PUE;CIR;SEC;MAN;PAR;PH;DV;DOMINIO;FechaBaja;MOF;LOF;Descuento
185828;1; ;1; ;5131;;PUBLICA;S/N;;;; ;500,3;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ;;;-31.590421523957332,-64.45644919853467;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ;;18/2/2020;0;0;0;0;0;1;3;0;0;;2001-01-01 00:00:00.000;1;3;0
185829;2; ;2; ;5131;;PUBLICA;S/N;;;; ;579,67;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ;;;-31.592058836235154,-64.46524801335966;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ;;18/2/2020;0;0;0;0;0;1;1;0;0;;2001-01-01 00:00:00.000;1;1;0
185830;3; ;3; ;5131;;PUBLICA;S/N;;;; ;461,7;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;1;7;0;0;;2001-01-01 00:00:00.000;1;7;0
185831;6; ;5; ;5131;;PUBLICA;S/N;;;; ;821,1;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;1;9;0;0;;2001-01-01 00:00:00.000;1;9;0
185832;7; ;6; ;5131;;PUBLICA;S/N;;;; ;543,4;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;1;4;0;0;;2001-01-01 00:00:00.000;1;4;0
185833;10; ;9; ;5131;;PUBLICA;S/N;;;; ;640,3;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ;;;;0;0; ;25;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ;;18/2/2020;0;0;0;0;0;2;6;0;0;;2001-01-01 00:00:00.000;2;6;25
185834;14; ;13; ;5131;;PUBLICA;S/N;;;; ;0;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;2;1;0;0;;2001-01-01 00:00:00.000;2;1;0
185835;18; ;17; ;5131;;PUBLICA;S/N;;;; ;0;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;2;2;0;0;;2001-01-01 00:00:00.000;2;2;0
185836;19; ;18; ;5131;;PUBLICA;S/N;;;; ;542,95;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;2;4;0;0;;2001-01-01 00:00:00.000;2;4;0
185837;20; ;19; ;5131;;PUBLICA;S/N;;;; ;776,03;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;2;8;0;0;;2001-01-01 00:00:00.000;2;8;0
185838;21; ;20; ;5131;;PUBLICA;S/N;;;; ;0;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ;;;;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ;;18/2/2020;0;0;0;0;0;3;0;0;0;;2001-01-01 00:00:00.000;3;0;0
185839;22; ;21; ;5131;;PUBLICA;S/N;;;; ;1870,56;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;3;2;0;0;;2001-01-01 00:00:00.000;3;2;0
185840;23; ;22; ;5131;;PUBLICA;S/N;;;; ;0;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;3;5;0;0;;2001-01-01 00:00:00.000;3;5;0
185841;24; ;23; ;5131;;PUBLICA;S/N;;;; ;716,89;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;3;1;0;0;;2001-01-01 00:00:00.000;3;1;0
185842;25; ;24; ;5131;;PUBLICA;S/N;;;; ;2384,07;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;3;3;0;0;;2001-01-01 00:00:00.000;3;3;0
185843;26; ;25; ;5131;;PUBLICA;S/N;;;; ;1751,87;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ;;;;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ;;18/2/2020;0;0;0;0;0;3;4;0;0;;2001-01-01 00:00:00.000;3;4;0
185844;27; ;26; ;5131;;PUBLICA;S/N;;;; ;1342,78;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;4;8;0;0;;2001-01-01 00:00:00.000;4;8;0
185845;28; ;27; ;5131;;PUBLICA;S/N;;;; ;448,28;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;4;8;0;0;;2001-01-01 00:00:00.000;4;8;0
185846;31; ;30; ;5131;;PUBLICA;S/N;;;; ;597,25;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;4;9;0;0;;2001-01-01 00:00:00.000;4;9;0
185847;32; ;31; ;5131;;PUBLICA;S/N;;;; ;735;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;4;7;0;0;;2001-01-01 00:00:00.000;4;7;0
185848;33; ;32; ;5131;;PUBLICA;S/N;;;; ;554,9;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;4;3;0;0;;2001-01-01 00:00:00.000;4;3;0
185849;34; ;32; ;5131;;PUBLICA;S/N;;;; ;699,6;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;4;4;0;0;;2001-01-01 00:00:00.000;4;4;0
185850;35; ;32; ;5131;;PUBLICA;S/N;;;; ;510;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;4;5;0;0;;2001-01-01 00:00:00.000;4;5;0
185851;36; ;33; ;5131;;PUBLICA;S/N;;;; ;0;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;4;14;0;0;;2001-01-01 00:00:00.000;4;14;0
185852;37; ;34; ;5131;;PUBLICA;S/N;;;; ;663,77;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;4;1;0;0;;2001-01-01 00:00:00.000;4;1;0
185853;38; ;35; ;5131;;PUBLICA;S/N;;;; ;426,88;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;4;12;0;0;;2001-01-01 00:00:00.000;4;12;0
185854;40; ;37; ;5131;;PUBLICA;S/N;;;; ;452,9;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;4;10;0;0;;2001-01-01 00:00:00.000;4;10;0
185855;42; ;39; ;5131;;PUBLICA;S/N;;;; ;0;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;4;7;0;0;;2001-01-01 00:00:00.000;4;7;0
185856;43; ;40; ;5131;;PUBLICA;S/N;;;; ;500,7;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;5;3;0;0;;2001-01-01 00:00:00.000;5;3;0
185857;44; ;41; ;5131;;PUBLICA;S/N;;;; ;0;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;5;4;0;0;;2001-01-01 00:00:00.000;5;4;0
185858;45; ;42; ;5131;;PUBLICA;S/N;;;; ;630,05;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;5;6;0;0;;2001-01-01 00:00:00.000;5;6;0
185859;46; ;43; ;5131;;PUBLICA;S/N;;;; ;490,8;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;5;1;0;0;;2001-01-01 00:00:00.000;5;1;0
185860;47; ;44; ;5131;;PUBLICA;S/N;;;; ;633,35;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;5;5;0;0;;2001-01-01 00:00:00.000;5;5;0
185861;48; ;45; ;5131;;PUBLICA;S/N;;;; ;0;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;5;7;0;0;;2001-01-01 00:00:00.000;5;7;0
185862;50; ;47; ;5131;;PUBLICA;S/N;;;; ;608,04;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;6;4;0;0;;2001-01-01 00:00:00.000;6;4;0
185863;52; ;49; ;5131;;PUBLICA;S/N;;;; ;575,34;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;6;13;0;0;;2001-01-01 00:00:00.000;6;13;0
185864;54; ;51; ;5131;;PUBLICA;S/N;;;; ;609,76;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;6;9;0;0;;2001-01-01 00:00:00.000;6;9;0
185865;57; ;53; ;5131;;PUBLICA;S/N;;;; ;403,45;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;6;2;0;0;;2001-01-01 00:00:00.000;6;2;0
185866;62; ;58; ;5131;;PUBLICA;S/N;;;; ;573;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;6;1;0;0;;2001-01-01 00:00:00.000;6;1;0
185867;63; ;59; ;5131;;PUBLICA;S/N;;;; ;457,33;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;7;2;0;0;;2001-01-01 00:00:00.000;7;2;0
185868;67; ;59; ;5131;;PUBLICA;S/N;;;; ;0;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;7;1;0;0;;2001-01-01 00:00:00.000;7;1;0
185869;70; ;65; ;5131;;PUBLICA;S/N;;;; ;0;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;0;0;0;0;;2001-01-01 00:00:00.000;0;0;0
185870;71; ;66; ;5131;;PUBLICA;S/N;;;; ;0;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;0;0;0;0;;2001-01-01 00:00:00.000;0;0;0
185871;72; ;67; ;5131;;PUBLICA;S/N;;;; ;0;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;0;0;0;0;;2001-01-01 00:00:00.000;0;0;0
185872;73; ;32; ;5131;;PUBLICA;S/N;;;; ;0;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;0;0;0;0;;2001-01-01 00:00:00.000;0;0;0
185873;74; ;68; ;5131;;PUBLICA;S/N;;;; ;0;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;0;0;0;0;;2001-01-01 00:00:00.000;0;0;0
185874;75; ;69; ;5131;;PUBLICA;S/N;;;; ;795,45;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;2;9;0;0;;2001-01-01 00:00:00.000;2;9;0
185875;76; ;70; ;5131;;PUBLICA;S/N;;;; ;0;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;0;0;0;0;;2001-01-01 00:00:00.000;0;0;0
