TIPO_BIEN;NUMERO;Importe;TipoImporte;Vencimiento;Cuota;Ano
NULL;NULL;NULL;NULL;30/4/2024;2;2024
NULL;NULL;NULL;NULL;15/4/2019;1;2019
NULL;NULL;NULL;NULL;15/7/2019;2;2019
NULL;NULL;NULL;NULL;15/10/2019;3;2019
NULL;NULL;NULL;NULL;15/12/2019;4;2019
NULL;NULL;NULL;NULL;31/7/2019;1;2019
NULL;NULL;NULL;NULL;31/10/2019;2;2019
NULL;NULL;NULL;NULL;30/3/2019;0;2019
NULL;NULL;NULL;NULL;30/3/2019;1;2019
NULL;NULL;NULL;NULL;30/4/2019;2;2019
NULL;NULL;NULL;NULL;29/6/2019;3;2019
NULL;NULL;NULL;NULL;30/8/2019;4;2019
NULL;NULL;NULL;NULL;30/10/2019;5;2019
NULL;NULL;NULL;NULL;30/3/2019;1;2019
NULL;NULL;NULL;NULL;30/5/2019;2;2019
NULL;NULL;NULL;NULL;30/7/2019;3;2019
NULL;NULL;NULL;NULL;30/9/2019;4;2019
NULL;NULL;NULL;NULL;30/11/2019;5;2019
NULL;NULL;NULL;NULL;30/4/2020;0;2020
NULL;NULL;NULL;NULL;30/4/2020;1;2020
NULL;NULL;NULL;NULL;15/6/2020;2;2020
NULL;NULL;NULL;NULL;15/9/2020;3;2020
NULL;NULL;NULL;NULL;15/12/2020;4;2020
NULL;NULL;NULL;NULL;30/4/2020;0;2020
NULL;NULL;NULL;NULL;29/4/2020;1;2020
NULL;NULL;NULL;NULL;30/5/2020;2;2020
NULL;NULL;NULL;NULL;30/6/2020;3;2020
NULL;NULL;NULL;NULL;30/8/2020;4;2020
NULL;NULL;NULL;NULL;30/10/2020;5;2020
NULL;NULL;NULL;NULL;30/4/2020;0;2020
NULL;NULL;NULL;NULL;30/4/2020;1;2020
NULL;NULL;NULL;NULL;30/5/2020;2;2020
NULL;NULL;NULL;NULL;30/7/2020;3;2020
NULL;NULL;NULL;NULL;30/9/2020;4;2020
NULL;NULL;NULL;NULL;30/11/2020;5;2020
NULL;NULL;NULL;NULL;15/6/2020;0;2020
NULL;NULL;NULL;NULL;15/6/2020;1;2020
NULL;NULL;NULL;NULL;15/12/2020;2;2020
NULL;NULL;NULL;NULL;10/3/2021;0;2021
NULL;NULL;NULL;NULL;15/3/2021;1;2021
NULL;NULL;NULL;NULL;15/6/2021;2;2021
