Fecha Vto.;Detalle;ID_BIEN;Cuota;Añ;Importe;Int/Dto;Total
31/12/2021;Comercio e Industria;120;6;2021;$ 1.350,00;$ 2.435,18;$ 3.785,18
15/12/2021;Comercio e Industria;120;12;2021;$ 1.350,00;$ 2.458,85;$ 3.808,85
15/11/2021;Comercio e Industria;120;11;2021;$ 1.350,00;$ 2.503,23;$ 3.853,23
31/10/2021;Comercio e Industria;120;5;2021;$ 1.350,00;$ 2.525,42;$ 3.875,42
15/10/2021;Comercio e Industria;120;10;2021;$ 1.350,00;$ 2.549,10;$ 3.899,10
15/9/2021;Comercio e Industria;120;9;2021;$ 1.350,00;$ 2.593,48;$ 3.943,48
31/8/2021;Comercio e Industria;120;4;2021;$ 1.350,00;$ 2.615,67;$ 3.965,67
15/8/2021;Comercio e Industria;120;8;2021;$ 1.350,00;$ 2.639,34;$ 3.989,34
15/7/2021;Comercio e Industria;120;7;2021;$ 1.350,00;$ 2.685,21;$ 4.035,21
30/6/2021;Comercio e Industria;120;3;2021;$ 1.350,00;$ 2.707,40;$ 4.057,40
30/4/2021;Comercio e Industria;120;2;2021;$ 1.350,00;$ 2.797,64;$ 4.147,64
28/2/2021;Comercio e Industria;120;1;2021;$ 1.350,00;$ 2.887,89;$ 4.237,89
15/1/2021;Comercio e Industria;120;4;2020;$ 2.400,00;$ 5.249,75;$ 7.649,75
31/10/2020;Comercio e Industria;120;5;2020;$ 2.400,00;$ 5.449,64;$ 7.849,64
15/10/2020;Comercio e Industria;120;3;2020;$ 2.400,00;$ 5.491,73;$ 7.891,73
15/7/2020;Comercio e Industria;120;2;2020;$ 2.400,00;$ 5.733,70;$ 8.133,70
15/4/2020;Comercio e Industria;120;1;2020;$ 2.400,00;$ 5.973,04;$ 8.373,04
15/1/2020;Comercio e Industria;120;4;2019;$ 1.600,00;$ 4.141,59;$ 5.741,59
31/10/2019;Comercio e Industria;120;5;2019;$ 1.600,00;$ 4.274,85;$ 5.874,85
15/10/2019;Comercio e Industria;120;3;2019;$ 1.600,00;$ 4.302,90;$ 5.902,90
15/7/2019;Comercio e Industria;120;2;2019;$ 1.600,00;$ 4.464,22;$ 6.064,22
15/4/2019;Comercio e Industria;120;1;2019;$ 1.600,00;$ 4.623,78;$ 6.223,78
31/10/2025;Tasa Serv. a la Prop.;1607;5;2025;$ 25.080,00;$ 7.437,42;$ 35.025,42
31/8/2025;Tasa Serv. a la Prop.;1607;4;2025;$ 25.080,00;$ 9.281,66;$ 36.869,66
30/6/2025;Tasa Serv. a la Prop.;1607;3;2025;$ 25.080,00;$ 11.156,13;$ 38.744,13
30/4/2025;Tasa Serv. a la Prop.;1607;2;2025;$ 25.080,00;$ 13.000,37;$ 40.588,37
31/3/2025;Tasa Serv. a la Prop.;1607;1;2025;$ 25.080,00;$ 13.907,38;$ 41.495,38
31/10/2024;Tasa Serv. a la Prop.;1607;5;2024;$ 5.992,80;$ 4.012,71;$ 10.005,51
31/8/2024;Tasa Serv. a la Prop.;1607;4;2024;$ 5.992,80;$ 4.413,33;$ 10.406,13
30/6/2024;Tasa Serv. a la Prop.;1607;3;2024;$ 5.992,80;$ 4.820,51;$ 10.813,31
Subtotal Pág. 1;;;;;$ 179.578,40;$ 149.133,12;$ 341.251,52
