Fecha Vto.;Detalle;ID_BIEN;Cuota;Aï¿;Importe;Int/Dto;Total
31/10/2025;Tasa Serv. a la Prop.;113;5;2025;$ 19.800,00;$ 5.871,65;$ 27.651,65
31/8/2025;Tasa Serv. a la Prop.;113;4;2025;$ 19.800,00;$ 7.327,63;$ 29.107,63
30/6/2025;Tasa Serv. a la Prop.;113;3;2025;$ 19.800,00;$ 8.807,47;$ 30.587,47
30/4/2025;Tasa Serv. a la Prop.;113;2;2025;$ 19.800,00;$ 10.263,45;$ 32.043,45
31/3/2025;Tasa Serv. a la Prop.;113;1;2025;$ 19.800,00;$ 10.979,51;$ 32.759,51
31/10/2024;Tasa Serv. a la Prop.;113;5;2024;$ 5.244,80;$ 3.511,86;$ 8.756,66
31/8/2024;Tasa Serv. a la Prop.;113;4;2024;$ 5.244,80;$ 3.862,47;$ 9.107,27
30/6/2024;Tasa Serv. a la Prop.;113;3;2024;$ 5.244,80;$ 4.218,83;$ 9.463,63
30/4/2024;Tasa Serv. a la Prop.;113;2;2024;$ 5.244,80;$ 4.569,44;$ 9.814,24
28/2/2024;Tasa Serv. a la Prop.;113;1;2024;$ 5.244,80;$ 4.925,80;$ 10.170,60
31/10/2025;Tasa Serv. a la Prop.;114;5;2025;$ 42.460,00;$ 12.591,43;$ 59.297,43
31/8/2025;Tasa Serv. a la Prop.;114;4;2025;$ 42.460,00;$ 15.713,69;$ 62.419,69
30/6/2025;Tasa Serv. a la Prop.;114;3;2025;$ 42.460,00;$ 18.887,14;$ 65.593,14
30/4/2025;Tasa Serv. a la Prop.;114;2;2025;$ 42.460,00;$ 22.009,40;$ 68.715,40
31/3/2025;Tasa Serv. a la Prop.;114;1;2025;$ 42.460,00;$ 23.544,94;$ 70.250,94
31/10/2024;Tasa Serv. a la Prop.;114;5;2024;$ 10.164,00;$ 6.805,70;$ 16.969,70
31/8/2024;Tasa Serv. a la Prop.;114;4;2024;$ 10.164,00;$ 7.485,16;$ 17.649,16
30/6/2024;Tasa Serv. a la Prop.;114;3;2024;$ 10.164,00;$ 8.175,75;$ 18.339,75
30/4/2024;Tasa Serv. a la Prop.;114;2;2024;$ 10.164,00;$ 8.855,21;$ 19.019,21
28/2/2024;Tasa Serv. a la Prop.;114;1;2024;$ 10.164,00;$ 9.545,81;$ 19.709,81
15/1/2026;Comercio e Industria;176;12;2025;$ 13.200,00;$ 2.459,18;$ 15.659,18
31/12/2025;Comercio e Industria;176;6;2025;$ 13.200,00;$ 2.943,78;$ 17.463,78
15/12/2025;Comercio e Industria;176;11;2025;$ 13.200,00;$ 3.198,38;$ 17.718,38
