Fecha Vto.;Detalle;ID_BIEN;Cuota;Añ;Importe;Int/Dto;Total
24/2/2026;RDIG. B2 Automoviles y Camione;0;0;2026;$ 45.000,00;$ 6.410,96;$ 51.410,96
31/10/2025;Tasa Serv. a la Prop.;1126;5;2025;$ 19.800,00;$ 5.871,65;$ 27.651,65
31/8/2025;Tasa Serv. a la Prop.;1126;4;2025;$ 19.800,00;$ 7.327,63;$ 29.107,63
30/6/2025;Tasa Serv. a la Prop.;1126;3;2025;$ 19.800,00;$ 8.807,47;$ 30.587,47
30/4/2025;Tasa Serv. a la Prop.;1126;2;2025;$ 19.800,00;$ 10.263,45;$ 32.043,45
31/3/2025;Tasa Serv. a la Prop.;1126;1;2025;$ 19.800,00;$ 10.979,51;$ 32.759,51
31/10/2024;Tasa Serv. a la Prop.;1126;5;2024;$ 5.244,80;$ 3.511,86;$ 8.756,66
31/8/2024;Tasa Serv. a la Prop.;1126;4;2024;$ 5.244,80;$ 3.862,47;$ 9.107,27
30/6/2024;Tasa Serv. a la Prop.;1126;3;2024;$ 5.244,80;$ 4.218,83;$ 9.463,63
30/4/2024;Tasa Serv. a la Prop.;1126;2;2024;$ 5.244,80;$ 4.569,44;$ 9.814,24
28/2/2024;Tasa Serv. a la Prop.;1126;1;2024;$ 5.244,80;$ 4.925,80;$ 10.170,60
31/10/2023;Tasa Serv. a la Prop.;1126;5;2023;$ 2.002,00;$ 2.143,51;$ 4.145,51
31/8/2023;Tasa Serv. a la Prop.;1126;4;2023;$ 2.002,00;$ 2.277,34;$ 4.279,34
30/6/2023;Tasa Serv. a la Prop.;1126;3;2023;$ 2.002,00;$ 2.413,37;$ 4.415,37
30/4/2023;Tasa Serv. a la Prop.;1126;2;2023;$ 2.002,00;$ 2.547,20;$ 4.549,20
28/2/2023;Tasa Serv. a la Prop.;1126;1;2023;$ 2.002,00;$ 2.681,03;$ 4.683,03
31/10/2022;Tasa Serv. a la Prop.;1126;5;2022;$ 1.206,70;$ 1.774,68;$ 2.981,38
31/8/2022;Tasa Serv. a la Prop.;1126;4;2022;$ 1.206,70;$ 1.855,34;$ 3.062,04
30/6/2022;Tasa Serv. a la Prop.;1126;3;2022;$ 1.206,70;$ 1.937,33;$ 3.144,03
30/4/2022;Tasa Serv. a la Prop.;1126;2;2022;$ 1.206,70;$ 2.018,00;$ 3.224,70
28/2/2022;Tasa Serv. a la Prop.;1126;1;2022;$ 1.206,70;$ 2.098,67;$ 3.305,37
31/10/2021;Tasa Serv. a la Prop.;1126;5;2021;$ 831,60;$ 1.555,66;$ 2.387,26
31/8/2021;Tasa Serv. a la Prop.;1126;4;2021;$ 831,60;$ 1.611,25;$ 2.442,85
30/6/2021;Tasa Serv. a la Prop.;1126;3;2021;$ 831,60;$ 1.667,76;$ 2.499,36
30/4/2021;Tasa Serv. a la Prop.;1126;2;2021;$ 831,60;$ 1.723,35;$ 2.554,95
28/2/2021;Tasa Serv. a la Prop.;1126;1;2021;$ 831,60;$ 1.778,94;$ 2.610,54
15/1/2021;Tasa Serv. a la Prop.;1126;4;2020;$ 639,76;$ 1.399,41;$ 2.039,17
31/10/2020;Tasa Serv. a la Prop.;1126;5;2020;$ 639,76;$ 1.452,69;$ 2.092,45
15/10/2020;Tasa Serv. a la Prop.;1126;3;2020;$ 639,76;$ 1.463,91;$ 2.103,67
15/7/2020;Tasa Serv. a la Prop.;1126;2;2020;$ 639,76;$ 1.528,41;$ 2.168,17
Subtotal Pág. 1;;;;;$ 192.984,54;$ 106.676,92;$ 309.561,46
